epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43275,2.30612,3.05326,2.5811,0.00417,0.83333,0.02155,0.00728,2.16738,3.67761,2.9236,0.000444444,0.000444444,0.000444444
2,2.15206,2.18802,3.03052,2.45656,0.00417,0.83333,0.02383,0.00826,2.11961,3.78602,2.88138,0.00110011,0.00110011,0.00110011
3,2.8673,2.44707,3.10765,2.72411,0.00417,0.83333,0.02305,0.00877,2.06002,3.75823,2.85469,0.00174258,0.00174258,0.00174258
4,3.85768,2.22145,3.11286,2.35551,0.00417,0.83333,0.02493,0.01014,1.99739,3.77472,2.86278,0.0019406,0.0019406,0.0019406
5,4.85428,2.34452,3.24499,2.54579,0.00417,0.83333,0.03026,0.01257,2.01272,3.83116,2.89737,0.0019208,0.0019208,0.0019208
6,6.03559,2.16783,3.17634,2.48132,0.00417,0.83333,0.03026,0.01257,2.01272,3.83116,2.89737,0.001901,0.001901,0.001901
7,7.21632,2.2628,3.05678,2.58641,0.00417,0.83333,0.032,0.0094,2.05579,3.84891,2.98158,0.0018812,0.0018812,0.0018812
8,8.31819,2.1663,3.1353,2.37824,0.00417,0.83333,0.04811,0.01401,2.65279,3.94476,3.83656,0.0018614,0.0018614,0.0018614
9,9.29387,2.20618,3.22659,2.29998,0.00333,0.66667,0.03755,0.00737,3.28169,3.85066,7.76414,0.0018416,0.0018416,0.0018416
10,10.1036,2.24668,3.09856,2.42401,0.00333,0.66667,0.03755,0.00737,3.28169,3.85066,7.76414,0.0018218,0.0018218,0.0018218
11,10.9877,2.23532,3.009,2.37794,0.00333,0.66667,0.01877,0.00596,3.20507,4.14987,5.58395,0.001802,0.001802,0.001802
12,11.9759,2.18007,2.87823,2.35469,0.02966,0.33333,0.09328,0.03702,2.70244,3.78469,6.02143,0.0017822,0.0017822,0.0017822
13,12.988,2.15303,2.93833,2.4064,0.12145,0.16667,0.07139,0.02372,2.75532,4.55086,5.80272,0.0017624,0.0017624,0.0017624
14,13.9363,2.19825,3.19323,2.50784,0.12145,0.16667,0.07139,0.02372,2.75532,4.55086,5.80272,0.0017426,0.0017426,0.0017426
